question_id,source_question_number,source_section,source_heading,old_difficulty,old_tags,answer_status,marks_total,image_paths,duplicate_status,duplicate_reference,题目边界完整,英文题干准确,中文题干自然且含义一致,公式符号单位准确,小问顺序与分值完整,必要图片正确,答案与题目对应,答案数学复核结论,新主类型,新标签,新Level,判级证据,疑点,订正内容,订正证据,复核状态,自动验收结果,Joy审批状态,record_status
M2QD-DA-PARTA-Q14,PARTA-Q14,甲部特训,综合 应试技巧 Q14（完整题）,3,微分的应用；微分以及微分公式；导数图像；切线；斜率；转向点；极值,source_provided,5,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,极小点,2,由两截距直接写出导函数直线，再代入及作一次二阶导数判定。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q15,PARTA-Q15,甲部特训,综合 应试技巧 Q15（完整题）,5,微分的应用；微分以及微分公式；单调性；证明题；二阶导数；拐点；切线；凹凸性,source_provided,8,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,切点未知；拐点；凹凸性,4,需从给定一阶导数证明单调、反求拐点、建立切线并用凹性作全区间解释。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q16,PARTA-Q16,甲部特训,综合 应试技巧 Q16（完整题）,5,微分的应用；微分以及微分公式；渐近线；一阶导数；二阶导数；转向点；拐点；有理函数,source_provided,9,,historical_reference,DSE-2020-Q9,通过,有疑点,已规范,有疑点,通过,不适用,有疑点,需订正,极值与曲线性质,渐近线；极小点；拐点,4,整合有理函数除法、导数因式符号、非转向驻点、渐近线与拐点，条件处理密集。,,"question_text_original: (b) Find $f^{\prime}(x)$.；question_text_zh: (b) 求 $f'(x)$。；solution_original: 补充 $f(-5)=0$，故拐点为 $(-5,0)$。",题目原始MMD第1175–1180行；答案原始MMD第991–1001行及第1013行。当前45题JSON亦已采用 $f'(x)$，但未保留校订证据。；题目原始MMD第1184–1190行与答案原始MMD第991–1013行对照。；答案原始MMD第1013–1023行；独立代入 $f(-5)=0$。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-PARTA-Q17,PARTA-Q17,甲部特训,综合 应试技巧 Q17（完整题）,5,微分的应用；微分以及微分公式；切线；相关变化率；变率；面积；对数函数,source_provided,8,,historical_reference,DSE-2018-Q9,通过,通过,通过,通过,通过,不适用,通过,通过,综合微分应用,相关变化率；面积变化；链式法则建模；建立变量关系；综合题目,4,先以切线建立动态截点，再联立距离速率和三角形面积速率，跨切线与变率两板块。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTB-Q1,PARTB-Q1,乙部特训,乙部应试特训 1 Q1（完整题）,5,微分的应用；微分以及微分公式；极值；拐点；渐近线；曲线作图；有理函数,source_provided,13,,adapted,DSE-2022-Q9,通过,通过,已规范,通过,通过,不适用,通过,通过,极值与曲线性质,驻点；极大点；极小点；一阶导数判别法；拐点；渐近线；曲线作图；综合题目,4,需在间断点两侧完成一阶、二阶导数符号分析并整合极值、拐点、渐近线与草图，属于高负担的标准综合曲线分析，但核心关系均已给出，评为L4。,,solution_original: 清理重复与错位段落，保留正确的一、二阶导数推导，并用经复核的文字条件补全草图答案。；question_text_zh: 求曲线与x轴及y轴的截距；求所有极值点及拐点，并补回各小问分值。,微分应用乙部答案MMD第13–34行及第79行；独立有限差分复算通过。；题目MMD第1372–1404行。,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTB-Q2,PARTB-Q2,乙部特训,乙部应试特训 1 Q2（完整题）,5,微分的应用；微分以及微分公式；参数；渐近线；交点；曲线作图；有理函数,source_provided,14,,new,,通过,通过,已规范,通过,通过,不适用,通过,通过,极值与曲线性质,渐近线；曲线作图；综合题目,4,需由截距及两类渐近线反推三个参数，再处理互为倒数的曲线、导数符号和联合草图，概念整合与条件处理均较强，评为L4。,,question_text_zh: 删除多余括号，并把“已知C2”改为“另设C2”，统一标点与数学间距。；solution_original: 删除重复行，并以截距、渐近线、交点及单调性完整说明草图。,题目MMD第1406–1435行。；微分应用乙部答案MMD第82–137行。,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTB-Q3,PARTB-Q3,乙部特训,乙部应试特训 1 Q3（完整题）,5,微分的应用；微分以及微分公式；极值；拐点；渐近线；曲线作图；有理函数,source_provided,13,,historical_reference,HKALE Pure Mathematics 2006 Paper 2 Q7,通过,通过,已规范,通过,通过,不适用,有疑点,需订正,极值与曲线性质,驻点；极大点；极小点；一阶导数判别法；拐点；渐近线；曲线作图；综合题目,4,需识别间断点处凹凸性改变并不构成拐点，同时完成极值、斜渐近线和草图分析，条件辨析是主要难点，评为L4。,,"question_text_zh: 局部极值点；solution_original: 曲线标签应为 $y=x-\frac{x}{x+1}=x-1+\frac{1}{x+1}$；保留渐近线 $x=-1$、$y=x-1$ 及极值点 $(-2,-4)$、$(0,0)$。；solution_original: 恢复干净导数公式，并用渐近线、极值点、单调性与凹凸性补全草图要求。",题目MMD第1438–1475行。；乙部答案MMD第141–215行及图片 d6fb2fbd-e521-4477-bb10-ce3f58210ca8-5_925_784_249_350.jpg；独立代数复算。；微分应用乙部答案MMD第141–215行；独立有限差分复算通过。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-PARTB-Q4,PARTB-Q4,乙部特训,乙部应试特训 1 Q4（完整题）,5,微分的应用；微分以及微分公式；相关变化率；变率；隐函数求导；几何；角度,source_provided,13,extracted_reference/source_images/M2QD_DA_PARTB_Q4_Figure1.jpg,new,,通过,通过,已规范,通过,通过,通过,通过,通过,变率,相关变化率；几何量变化；链式法则建模；隐函数求导；建立变量关系；综合题目,5,必须从复杂相切几何中自行构造余弦关系，再连接两层变化率与三角函数关系，建模和推导链均达到最高档，评为L5。,,question_text_zh: 恒定速率；棒MN与水平面的夹角，并规范单位为 m s^{-1}。,题目MMD第1477–1506行。,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTB-Q5,PARTB-Q5,乙部特训,乙部应试特训 1 Q5（完整题）,5,微分的应用；微分以及微分公式；最优化；相关变化率；变率；面积；证明题；抛物线,source_provided,12,,historical_reference,DSE-2018-Q9,通过,通过,已规范,通过,通过,不适用,通过,通过,综合微分应用,区间最值；几何最优化；相关变化率；面积变化；链式法则建模；建立变量关系；综合题目,5,同题连续考查面积建模、区间最大值、由OP反求参数变化率及反例判断，需跨最优化与变率组织长推导，评为L5。,,solution_original: A=k\sqrt{1-k}。；question_text_zh: 达到最大值；面积的变化率，并补全(d)的2分标记。,微分应用乙部答案MMD第314–327行；独立代数与数值复算得到 dA/dt=-√42。；题目MMD第1508–1535行。,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTB-Q6,PARTB-Q6,乙部特训,乙部应试特训 1 Q6（完整题）,5,微分的应用；微分以及微分公式；最优化；相关变化率；变率；距离；面积；周界；证明题,source_provided,13,,adapted,DSE-2021-Q10,通过,通过,已规范,通过,通过,不适用,通过,通过,综合微分应用,几何最优化；相关变化率；几何量变化；链式法则建模；建立变量关系；综合题目,5,先最小化两根式距离，再反驳面积结论，最后把OP的给定变化率转换为参数变化率并合成三边周长变化率，推导链与整合度均最高，评为L5。,,question_text_zh: 取得最小值；声称；周长的变化率。,题目MMD第1539–1569行。,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
